"카메라 번호","주소","상세 설명","측정 시작 시간","측정 종료 시간","카메라 통과 인원 (IN)","카메라 통과 인원 (OUT)","데이터입력시간"
"2","계동길 69","계동교회 앞","2021-06-02 16:09:51","2021-06-02 16:21:29","351","1175","2021-06-02 16:21:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 16:09:51","2021-06-02 16:21:29","232","239","2021-06-02 16:21:29"
"2","계동길 69","계동교회 앞","2021-06-02 16:21:29","2021-06-02 16:31:29","459","1399","2021-06-02 16:31:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 16:21:29","2021-06-02 16:31:29","300","298","2021-06-02 16:31:29"
"2","계동길 69","계동교회 앞","2021-06-02 16:31:29","2021-06-02 16:41:29","544","1556","2021-06-02 16:41:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 16:31:29","2021-06-02 16:41:29","361","381","2021-06-02 16:41:29"
"2","계동길 69","계동교회 앞","2021-06-02 16:41:29","2021-06-02 16:51:29","638","1703","2021-06-02 16:51:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 16:41:29","2021-06-02 16:51:29","418","439","2021-06-02 16:51:29"
"2","계동길 69","계동교회 앞","2021-06-02 16:51:29","2021-06-02 17:01:29","715","1816","2021-06-02 17:01:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 16:51:29","2021-06-02 17:01:29","470","466","2021-06-02 17:01:29"
"2","계동길 69","계동교회 앞","2021-06-02 17:01:29","2021-06-02 17:11:29","808","2000","2021-06-02 17:11:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 17:01:29","2021-06-02 17:11:29","519","512","2021-06-02 17:11:29"
"2","계동길 69","계동교회 앞","2021-06-02 17:11:29","2021-06-02 17:21:29","886","2159","2021-06-02 17:21:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 17:11:29","2021-06-02 17:21:29","595","564","2021-06-02 17:21:29"
"2","계동길 69","계동교회 앞","2021-06-02 17:21:29","2021-06-02 17:31:29","944","2296","2021-06-02 17:31:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 17:21:29","2021-06-02 17:31:29","662","614","2021-06-02 17:31:29"
"2","계동길 69","계동교회 앞","2021-06-02 17:31:29","2021-06-02 17:41:29","1030","2470","2021-06-02 17:41:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 17:31:29","2021-06-02 17:41:29","725","669","2021-06-02 17:41:29"
"2","계동길 69","계동교회 앞","2021-06-02 17:41:29","2021-06-02 17:51:29","1132","2632","2021-06-02 17:51:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 17:41:29","2021-06-02 17:51:29","786","710","2021-06-02 17:51:29"
"2","계동길 69","계동교회 앞","2021-06-02 17:51:29","2021-06-02 18:01:29","1204","2709","2021-06-02 18:01:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 17:51:29","2021-06-02 18:01:29","854","757","2021-06-02 18:01:29"
"2","계동길 69","계동교회 앞","2021-06-02 18:01:29","2021-06-02 18:11:29","1321","2859","2021-06-02 18:11:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 18:01:29","2021-06-02 18:11:29","927","817","2021-06-02 18:11:29"
"2","계동길 69","계동교회 앞","2021-06-02 18:11:29","2021-06-02 18:21:29","1427","3024","2021-06-02 18:21:29"
"1","율곡로3길 50","덕성여고 앞","2021-06-02 18:11:29","2021-06-02 18:21:29","1007","885","2021-06-02 18:21:29"
"2","계동길 69","계동교회 앞","2021-06-02 18:21:29","2021-06-02 18:31:29","1509","3151","2021-06-02 18:31:29"
